ID,SMILES,AV_Bit,AV
coq_194,CC(C)C(=O)OCc4cc(OC(=O)[C@@H]2N3C(=O)[C@@H](NC(=O)Cc1ccccc1)[C@H]3SC2(C)C)ccc4,0,
coq_195,CCCCCCCCCCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCC/4=C/C(=O)CC[C@]4(C)[C@H]3CC[C@]12C,0,
coq_196,CN(C)CCOC1=CC=C(C=C1)/C(=C(/CCCl)C2=CC=CC=C2)C3=CC=CC=C3,0,
coq_197,CN[C@H]1C[C@@H](N)[C@H](O)[C@@H](O[C@@H]2O[C@H](CO)[C@H](O)[C@@H]3OC4(O[C@H]([C@@H](N)CO)[C@H](O)[C@H](O)[C@H]4O)O[C@H]23)[C@@H]1O,0,
coq_198,CC[N+](CC)(CC)CCC(O)(C1CCCCC1)C2=CC=CC=C2,0,
coq_199,CC[C@]12CC(=C)[C@H]3[C@@H](CCC/4=C/CCC[C@H]34)[C@@H]1CC[C@@]2(O)C#C,0,
coq_200,NC(=O)CC[C@@H]8C=2N=C(C(C)=C1[C@@H](CCC(N)=O)[C@](C)(CC(N)=O)[C@@](C)(N1[Co+]C#N)[C@@H]7N=C(C(C)=C3N=C(C=2)C(C)(C)[C@@H]3CCC(N)=O)[C@](C)(CCC(=O)NC[C@@H](C)OP([O-])(=O)O[C@@H]6[C@@H](CO)O[C@H](n5cnc4cc(C)c(C)cc45)[C@@H]6O)[C@H]7CC(N)=O)[C@@]8(C)CC(N)=O,0,
coq_201,C[C@@H](O)[C@@H]1[C@H]2[C@@H](C)\C(=C(/N2C1=O)C(=O)OCOC(=O)C(C)(C)C)SC3CN(C3)/C4=N/CCS4,0,
coq_202,[H][C@@]7(O[C@@H]1[C@@H](O)[C@H](O)[C@H](O[C@]1([H])O[C@H]2CC[C@@]3(C)[C@@]([H])(CC[C@]4(C)[C@]3([H])C(=O)C=C5[C@]6([H])C[C@](C)(CC[C@]6(C)CC[C@@]45C)C(O)=O)C2(C)C)C(O)=O)O[C@@H]([C@@H](O)[C@H](O)[C@H]7O)C(O)=O,0,
coq_203,CCC(C)CC(C)CCCCCCCCC(=O)N[C@H]1C[C@@H](O)[C@@H](NCCN)NC(=O)[C@@H]2[C@@H](O)CCN2C(=O)[C@@H](NC(=O)[C@@H](NC(=O)[C@@H]3C[C@@H](O)CN3C(=O)[C@@H](NC1=O)[C@@H](C)O)[C@@H](O)[C@H](O)C4=CC=C(O)C=C4)[C@H](O)CCN,0,
coq_204,OCC(N)(CO)CO,0,
coq_205,O=C(SCF)[C@@]4(OC(=O)CC)[C@H](C)C[C@H]3C2C[C@H](F)C1=CC(=O)C=C[C@]1(C)[C@@]2(F)[C@@H](O)C[C@@]34C,0,
coq_206,[Cl-].[Cl-].Clc2ccccc2C[N+](CC)(CC)CCNC(=O)C(=O)NCC[N+](Cc1ccccc1Cl)(CC)CC,0,
coq_207,COC1=C(C=C(C=C1C2=CC3=CC=C(N[S+](C)([O-])=O)C=C3C=C2)N4\C=C/C(=O)NC4=O)C(C)(C)C,0,
coq_208,COC1=CC=C(\C=C\C(=O)NC2=CC=CC=C2C(O)=O)C=C1OC,0,
coq_209,CCCC1C(=O)N2N(C1=O)\C(=N/C3=C2C=C(C)C=C3)N(C)C,0,
coq_210,N#CC[C@H](C1CCCC1)[N]2C=C(C=N2)C3=NC=NC4=C3C=C[NH]4,0,
coq_211,Clc1c(cc(cc1NC(=O)C(=O)O)C#N)NC(=O)C(=O)O,0,
coq_212,[H][C@@]12N3CC[C@@]14C5=CC(=C(OC)C=C5N(C)[C@@]4([H])[C@](O)([C@H](OC(C)=O)[C@]2(CC)C=CC3)C(=O)OC)[C@]6(C[C@@]7([H])CN(CC(CC)=C7)CC8=C6NC9=C8C=CC=C9)C(=O)OC,0,
coq_213,Clc3sccc3COC(Cn1ccnc1)c2ccc(Cl)cc2Cl,0,
coq_214,[O-][N+](=O)c1ccc(cc1)C(CC(C)=O)C2=C(O)c3ccccc3OC2=O,0,
